id	emotion
34170_0012_A_87	0.437136709690094,0.47248390316963196,0.4723011553287506,0.09033162146806717,0.4314629137516022,0
34170_0012_A_88	0.20410935580730438,0.29282277822494507,0.18498507142066956,0.12484252452850342,0.18549109995365143,0
34170_0012_A_89	0.43926918506622314,0.4616570770740509,0.47304609417915344,0.10531407594680786,0.4318505823612213,0
34170_0012_A_90	0.23479042947292328,0.6514984369277954,0.49177542328834534,0.010909801349043846,0.3659859001636505,0
34170_0012_A_92	0.23479025065898895,0.6514983177185059,0.491775780916214,0.010909980162978172,0.36598536372184753,0
34170_0012_A_94	0.23479007184505463,0.6514979600906372,0.49177542328834534,0.010910337790846825,0.3659866154193878,0
34170_0012_A_96	0.23479007184505463,0.6514979600906372,0.49177542328834534,0.010909443721175194,0.3659857213497162,0
34170_0012_A_98	1.0295307636260986,0.5460522174835205,0,0.6786673069000244,0.1111801415681839,0
34170_0012_A_99	1.2789775133132935,0.5553067922592163,0,0.7547663450241089,0.001189637929201126,0
34170_0012_A_100	0,1.445032000541687,0.5097944736480713,0,0.28235453367233276,0
34170_0012_A_101	0.46257150173187256,1.8115571737289429,1.2133808135986328,0.3896716833114624,0,0.011848853901028633
34170_0013_A_103	0,0.5114115476608276,0.48660019040107727,0.3124557137489319,0,0.08499608933925629
34170_0013_A_104	0,0.4887981712818146,0.46329644322395325,0.2408369779586792,0.28095898032188416,0.033028289675712585
34170_0013_A_105	0,0.39434489607810974,0.34212765097618103,0.42803263664245605,0,0
34170_0013_A_106	0,0.5114119052886963,0.4866005480289459,0.31245696544647217,0,0.08499573171138763
34170_0013_A_107	0.12256251275539398,0.9617695808410645,0.9540354013442993,0,0,0
34170_0013_A_108	0.14835374057292938,0.9464226961135864,0.8088150024414062,0,0,0
34170_0013_A_109	0.12256251275539398,0.9617695808410645,0.9540354013442993,0,0,0
34170_0013_A_110	1.0759342908859253,1.3535022735595703,0.6984410285949707,0.1565890610218048,0,0.6357537508010864
34170_0014_A_112	0.07377009093761444,0.8324440717697144,0.8951873779296875,0,0,0
34170_0014_A_113	0.09414701163768768,0.8469723463058472,0.2933709919452667,0.24726274609565735,0,0
34170_0015_A_115	0.33256787061691284,0.6224197149276733,1.0717869997024536,0,0,0
34170_0015_A_116	0,1.5067899227142334,0.9026540517807007,0.8026614189147949,0,0.5460084676742554
34170_0015_A_117	0,0.43919429183006287,0.3285132944583893,0.1735980212688446,0.17058874666690826,0.027569102123379707
34170_0015_A_118	0,0.47163668274879456,0.45135095715522766,0.34883594512939453,0,0.09651672095060349
34170_0015_A_119	0,0.4391937553882599,0.3285132944583893,0.17359837889671326,0.17058803141117096,0.02757035382091999
34170_0015_A_120	0,0.4716751277446747,0.4512694180011749,0.3488485515117645,0,0.09656070917844772
34170_0015_A_121	0,2.0395312309265137,0,0.6144616603851318,0.12423659861087799,0.392740398645401
34170_0016_A_123	0.9118667840957642,0.539405345916748,0.17196741700172424,0,0.2512798011302948,0.4318470060825348
34170_0016_A_124	0.19347761571407318,1.630656123161316,0.5132749080657959,0.8930761814117432,0.2188974916934967,0.2912658452987671
34170_0016_A_125	1.1199126243591309,1.0622293949127197,0,0.44021308422088623,0.6895807981491089,0.261197030544281
34170_0016_A_126	0,1.169764518737793,0.3374999463558197,0.010830944404006004,0,0
34170_0016_A_127	0,1.1271710395812988,0.31621697545051575,0,0,0
34170_0016_A_128	0,1.199006199836731,0.42373064160346985,0,0,0
34170_0016_A_129	0,2.1393837928771973,0,0.34670913219451904,0,0.14813083410263062
34170_0016_A_130	0,0.4579949676990509,0.3744235932826996,0.4026228189468384,0.08372290432453156,0.06906376779079437
34170_0016_A_131	0,0.4372235834598541,0.4721781313419342,0.3182453513145447,0.17058123648166656,0
34170_0016_A_132	0,0.29179906845092773,0.31089475750923157,0.3484380841255188,0,0
34170_0016_A_133	0.6097300052642822,1.5960347652435303,1.1520404815673828,0.3203532099723816,0,0
34170_0016_A_134	0.6566711664199829,1.664531946182251,1.1455018520355225,0.24618369340896606,0,0
34170_0016_A_135	0,0.9575624465942383,1.0138119459152222,0,0,0.028610872104763985
34170_0016_A_136	0,0.96599280834198,1.0032501220703125,0,0,0.02621619589626789
34170_0017_A_139	0,0.9285649061203003,1.0843626260757446,0,0.24743691086769104,0.2533576488494873
34170_0017_A_140	0,2.326680898666382,0,0.2305312156677246,0.045914310961961746,0.3225933313369751
34170_0017_A_141	0,2.4106006622314453,0,0.20252788066864014,0,0.2401125431060791
34170_0017_A_142	0,2.4106011390686035,0,0.20252779126167297,0,0.24011218547821045
34170_0017_A_143	0,1.5904580354690552,0.3014145791530609,0,0,0
34170_0017_A_144	0,0.6875183582305908,0.597567081451416,0.34007737040519714,0,0.057375773787498474
34170_0017_A_145	0,1.0296111106872559,0.32351383566856384,0.5233213901519775,0,0.027273790910840034
34170_0017_A_146	0,0.9973198175430298,0.1735788881778717,0.6143239736557007,0,0.14315050840377808
34170_0017_A_147	0,0.6579439640045166,0.2983606159687042,0.6728564500808716,0,0
